,0,1,2
0,AK,273,325.0972
1,AL,1191,1356.957
2,AR,1415,1411.8356
3,AZ,4532,3990.1342
4,CA,108432,100440.4556
5,CO,2188,2180.396
6,CT,456,504.9726
7,DC,608,524.0512
8,DE,95,132.269
9,FL,12476,10588.4038
10,GA,3880,3632.31
11,HI,3640,3666.5386
12,IA,188,179.678
13,ID,985,824.7818
14,IL,1889,2009.484
15,IN,642,669.322
16,KS,475,540.7558
17,KY,779,895.264
18,LA,974,1078.6622
19,MA,829,894.3006
20,MD,1348,1507.605
21,ME,95,110.1308
22,MI,662,739.0528
23,MN,1653,1612.927
24,MO,976,1002.2556
25,MS,486,554.3208
26,MT,345,352.3426
27,NC,2268,2283.3908
28,ND,12,49.9026
29,NE,110,127.346
30,NH,149,154.4836
31,NJ,1482,1508.0022
32,NM,1259,1323.5026
33,NV,3807,3937.4734
34,NY,4047,4108.3546
35,OH,1507,1571.3022
36,OK,1237,1338.002
37,OR,10142,8728.5628
38,PA,1630,1690.4024
39,RI,71,106.531
40,SC,1717,2042.7242
41,SD,234,242.4268
42,TN,2598,2720.7284
43,TX,11222,10373.901
44,UT,408,388.4704
45,VA,859,894.8292
46,VT,114,120.0688
47,WA,9557,8433.33
48,WI,295,374.0336
49,WV,248,298.2184
50,WY,125,215.8014
